IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
Heranba Industries,3/5/2021,,,,29.6,21.5,-0.4,3.0,627,
MTAR Technologies,3/15/2021,,,,88.3,79.2,68.2,64.3,575,
Easy Trip Planners,3/19/2021,,,,11.5,11.7,-7.3,0.2,187,
Anupam Rasayan,3/24/2021,,,,-5.1,-11.9,-0.1,23.0,555,
Craftsman Automation,3/25/2021,,,,-3.7,-2.7,-14.6,-5.6,"1,490",
Laxmi Organic,3/25/2021,,,,26.5,39.1,40.0,69.7,130,
Kalyan Jewellers,3/26/2021,,,,-13.6,-19.7,-24.6,-32.4,87,
Suryoday Bank,3/30/2021,,,,-11.2,-13.6,-19.0,-21.1,305,
Nazara Technologies,3/30/2021,,,,44.6,48.5,53.2,56.6,"1,101",
Barbeque Nation,4/7/2021,,,,17.6,38.7,21.6,19.1,500,
Macrotech Developers,4/19/2021,,,,-4.3,19.4,33.2,29.9,486,
Powergrid InvIT,5/14/2021,,,,3.0,11.0,12.5,12.0,100,
Shyam Metalics,6/24/2021,,,,22.9,21.1,45.4,38.4,306,
Sona BLW,6/24/2021,,,,24.1,18.5,51.4,40.7,291,
Dodla Dairy,6/28/2021,,,,42.5,35.4,37.2,40.1,428,
KIMS,6/28/2021,,,,20.8,32.7,45.0,48.6,825,
India Pesticides,7/5/2021,,,,15.9,14.8,13.4,10.3,296,
GR Infraprojects,7/19/2021,,,,108.7,103.9,91.4,90.3,837,
Clean Science and Technology,7/19/2021,,,,76.1,83.6,69.7,63.0,900,
Zomato,7/23/2021,,,,65.8,75.7,83.3,97.0,76,
Tatva Chintan Pharma Chem,7/29/2021,,,,113.5,96.8,97.5,89.0,"1,083",
Glenmark Life Sciences,8/6/2021,,,,4.0,5.2,-6.4,-4.1,720,
Rolex Rings,8/9/2021,,,,29.7,22.8,21.4,18.3,900,
Windlas Biotech,8/16/2021,,,,-11.5,-25.8,-19.7,-19.3,460,
Exxaro Tiles,8/16/2021,,,,10.3,1.7,28.4,28.1,120,
Devyani International,8/16/2021,,,,37.2,27.4,27.9,32.1,90,
Krsnaa Diagnostics,8/16/2021,,,,3.5,-7.3,-9.0,-17.7,954,
CarTrade Tech,8/20/2021,,,,-7.2,-11.3,-10.3,-20.3,"1,618",
Nuvoco Vistas,8/23/2021,,,,-6.7,-4.8,-5.3,-3.3,570,
Chemplast Sanmar,8/24/2021,,,,-1.0,6.5,1.0,29.1,541,
Aptus Value Housing Finance,8/24/2021,,,,-1.7,4.7,-2.3,-3.9,353,
Ami Organics,9/14/2021,,,,53.3,98.4,106.6,81.3,610,
Vijaya Diagnostics,9/14/2021,,,,16.8,8.4,6.3,7.2,531,
Sansera Engineering,9/24/2021,,,,10.0,8.9,0.3,-1.5,744,
Paras Defence,10/1/2021,,,,181.4,259.1,429.9,350.9,175,
Aditya Birla Sun Life AMC,10/11/2021,,,,-1.8,-3.9,-11.2,-16.5,712,
