ipo_name,listing_date,issue_price,listing_gain_pct,return_1w,return_4w,return_6w,listing_year,listing_month,listing_quarter,gain_category
ICICI Securities,2018-04-04,520,,,,,2018,4,2,loss
Mishra Dhatu Nigam,2018-04-04,90,0.06,,,,2018,4,2,weak
Sandhar Technologies,2018-04-02,332,,,,,2018,4,2,loss
Karda Constructions,2018-04-02,180,,,,,2018,4,2,loss
Hindustan Aeronautics,2018-03-28,1240,,,,,2018,3,1,loss
Bandhan Bank,2018-03-27,375,27.16,,,,2018,3,1,strong
Bharat Dynamics,2018-03-23,428,,,,,2018,3,1,loss
HG Infra Engineering,2018-03-09,270,,,,,2018,3,1,loss
Aster DM Healthcare,2018-02-26,190,,,,,2018,2,1,loss
Galaxy Surfactants,2018-02-08,1480,14.9,,,,2018,2,1,moderate
Amber Enterprises,2018-01-30,859,44.97,,,,2018,1,1,strong
Newgen Software,2018-01-29,245,3.02,,,,2018,1,1,weak
Apollo Microsystems,2018-01-22,275,60.65,,,,2018,1,1,strong
,2017-07-25,108,143.1,135.5,86.4,133.5,2017,7,3,strong
,2017-12-29,50,141.5,207.9,181.4,162.2,2017,12,4,strong
,2017-03-21,299,114.6,110.3,144.2,151.6,2017,3,1,strong
,2017-06-30,149,75.6,122.2,150.7,104.4,2017,6,2,strong
,2017-09-18,1766,63.7,48.0,51.3,55.0,2017,9,3,strong
,2017-07-10,358,51.3,66.5,54.0,50.9,2017,7,3,strong
,2017-10-18,459,42.6,42.8,28.2,41.5,2017,10,4,strong
,2017-04-05,460,37.5,64.8,47.1,52.3,2017,4,2,strong
,2017-09-25,250,37.0,33.2,36.9,53.1,2017,9,3,strong
,2017-02-03,806,32.7,24.7,10.5,17.1,2017,2,1,strong
,2017-10-16,460,29.5,26.5,17.0,18.3,2017,10,4,strong
,2017-08-11,411,28.5,30.0,33.6,29.7,2017,8,3,strong
,2017-10-05,938,25.9,32.9,25.0,25.8,2017,10,4,strong
,2017-05-19,60,25.1,25.8,18.2,15.7,2017,5,2,strong
,2017-09-04,175,21.2,54.6,75.5,161.7,2017,9,3,strong
,2017-11-17,290,18.8,27.8,31.5,33.1,2017,11,4,moderate
,2017-11-06,252,12.9,14.0,1.2,3.2,2017,11,4,moderate
,2017-03-17,333,12.0,7.7,4.6,5.2,2017,3,1,moderate
,2017-12-18,664,3.4,2.6,7.7,3.5,2017,12,4,weak
,2017-09-27,661,3.1,3.1,3.4,2.7,2017,9,3,weak
,2017-06-27,257,2.5,18.6,30.6,29.4,2017,6,2,weak
,2017-09-18,205,1.7,-7.4,-13.3,-16.0,2017,9,3,weak
,2017-10-03,700,1.1,0.0,-5.4,-5.7,2017,10,4,weak
,2017-07-04,170,1.0,4.3,-10.7,-10.0,2017,7,3,weak
,2017-05-09,670,0.9,-8.2,-16.3,-25.0,2017,5,2,weak
,2017-10-25,867,0.8,-2.2,-7.9,-7.6,2017,10,4,weak
,2017-09-21,898,0.7,-11.8,-5.7,-2.2,2017,9,3,weak
,2017-11-10,429,0.1,-4.9,3.1,5.1,2017,11,4,weak
,2017-05-18,102,-0.2,-1.0,-2.6,-6.7,2017,5,2,loss
,2017-06-29,603,-0.2,-0.9,-2.3,-12.0,2017,6,2,loss
,2017-10-23,1650,-1.3,-5.0,-8.2,-8.7,2017,10,4,loss
,2017-06-06,100,-1.4,-3.7,-6.8,-7.0,2017,6,2,loss
,2017-12-15,248,-3.4,-11.7,-4.2,-2.9,2017,12,4,loss
,2017-05-29,210,-5.0,4.7,24.1,38.6,2017,5,2,loss
,2017-11-13,770,-5.6,-13.2,-24.7,-20.4,2017,11,4,loss
,2017-08-10,815,-7.1,0.0,-4.7,-4.9,2017,8,3,loss
,2017-11-14,750,-8.2,-8.0,-10.8,-11.9,2017,11,4,loss
,2017-03-31,502,-15.9,-23.1,-9.0,-10.6,2017,3,1,loss
,2016-01-06,250,34.7,29.9,28.2,16.0,2016,1,1,strong
,2016-02-08,186,-4.5,-13.8,-14.5,-20.0,2016,2,1,loss
,2016-02-12,850,20.3,35.3,15.2,3.7,2016,2,1,strong
,2016-02-18,321,-20.9,-33.7,-26.6,-32.1,2016,2,1,loss
,2016-03-30,218,-21.5,-16.5,-15.5,-19.1,2016,3,1,loss
,2016-04-01,45,1.2,-2.0,-9.6,-2.3,2016,4,2,weak
,2016-04-04,432,3.1,3.7,20.2,17.5,2016,4,2,weak
,2016-04-21,110,22.9,26.1,34.9,51.8,2016,4,2,strong
,2016-05-09,446,38.7,41.2,33.5,27.9,2016,5,2,strong
,2016-05-10,210,10.2,23.8,68.9,76.4,2016,5,2,moderate
,2016-05-19,203,21.6,16.7,26.4,36.9,2016,5,2,strong
,2016-07-01,421,23.5,19.3,20.8,27.5,2016,7,3,strong
,2016-07-12,317,58.7,56.1,68.9,74.6,2016,7,3,strong
,2016-07-21,710,-0.3,-2.8,-3.5,-7.7,2016,7,3,loss
,2016-08-01,896,31.4,63.3,44.8,60.2,2016,8,3,strong
,2016-08-11,219,14.9,10.5,8.0,8.9,2016,8,3,moderate
,2016-08-12,268,7.7,12.2,27.3,30.5,2016,8,3,moderate
,2016-08-31,225,33.0,35.1,32.2,36.1,2016,8,3,strong
,2016-09-23,860,1.0,-1.4,-0.8,-10.8,2016,9,3,weak
,2016-09-26,207,18.3,15.7,23.1,10.4,2016,9,3,moderate
,2016-09-29,334,-10.9,-5.2,-5.9,-6.0,2016,9,3,loss
,2016-10-04,202,-6.2,-15.0,-13.9,-29.2,2016,10,4,loss
,2016-10-19,472,37.0,30.3,20.1,25.6,2016,10,4,strong
,2016-11-07,775,14.9,4.3,10.2,12.0,2016,11,4,moderate
,2016-11-08,445,3.2,-1.5,-4.9,-8.7,2016,11,4,weak
,2016-12-09,730,41.3,31.4,32.3,30.6,2016,12,4,strong
,2016-12-19,428,12.2,6.3,13.3,11.7,2016,12,4,moderate
